libimobiledevice 1.3.0-13
libimobiledevice-glue 1.2.0-1
libinih 58-1
libinput 1.26.0-1
libinstpatch 1.1.6-2
libisl 0.26-2
libisoburn 1.5.6-1
libisofs 1.5.6-1
libjpeg-turbo 3.0.3-1
libjpeg6-turbo 1.5.3-2
libjuice 1.4.2-1
libjxl 0.10.2-1
libksba 1.6.6-1
liblc3 1.1.1-1
libldac 2.0.2.3-1
libldap 2.6.7-2
libliftoff 0.5.0-1
libluv 1.48.0_2-1
libmad 0.15.1b-10
libmatroska 1.7.1-1
libmbim 1.30.0-1
libmd 1.1.0-1
libmfx 23.2.2-3
libmikmod 3.3.11.1-6
libmm-glib 1.22.0-1
libmms 0.6.4-4
libmng 2.0.3-3
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-5
libmpdclient 2.22-1
libmpeg2 0.5.1-10
libmysofa 1.3.2-1
libnbd 1.20.0-3
libndp 1.8-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-2
libnfnetlink 1.0.2-2
libnfs 5.0.3-1
libnftnl 1.2.6-1
libnghttp2 1.62.1-1
libnghttp3 1.3.0-1
libngtcp2 1.5.0-1
libnice 0.1.22-1
libnl 3.9.0-1
libnm 1.48.0-1
libnma 1.10.6-2
libnma-common 1.10.6-2
libnotify 0.8.3-1
libnsl 2.0.1-1
libnvme 1.9-1
libogg 1.3.5-2
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.7-1
libosinfo 1.11.0-2
libp11-kit 0.25.3-1
libpcap 1.10.4-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.0.7-2
libplacebo 6.338.2-6
libplist 2.6.0-1
libpng 1.6.43-1
libproxy 0.5.6-1
libpsl 0.21.5-2
libpulse 17.0-3
libqmi 1.34.0-1
libqrtr-glib 1.2.2-2
libraqm 0.10.1-1
libraw 0.21.2-1
libraw1394 2.1.2-3
librest 0.9.1-2
librewolf-bin 126.0.1-1
librewolf-bin-debug 126.0.1-1
librsvg 2:2.58.1-1
librsync 1:2.3.4-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.5-3
libsecret 0.21.4-1
libshout 1:2.4.6-2
libsidplayfp 2.6.0-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libslirp 4.8.0-1
libsm 1.2.4-1
libsndfile 1.2.2-2
libsodium 1.0.19-3
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libsrtp 1:2.6.0-1
libssh 0.10.6-2
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsysprof-capture 46.0-3
libtar 1.2.20-7
libtasn1 4.19.0-1
libteam 1.32-1
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-5
libtirpc 1.3.4-1
libtool 2.5.0+1+g38c166c8-1
libtraceevent 1:1.8.2-2
libtracefs 1.8.0-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
libupnp 1.14.19-2
liburing 2.6-2
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libuv 1.48.0-2
libva 2.21.0-1
libvdpau 1.5-2
libverto 0.3.2-5
libvirt 1:10.4.0-1
libvirt-glib 5.0.0-1
libvirt-python 1:10.4.0-1
libvorbis 1.3.7-3
libvpl 2.11.0-1
libvpx 1.14.0-1
libvterm 0.3.3-1
libwacom 2.12.0-1
libwebp 1.4.0-1
libwireplumber 0.5.3-1
libx11 1.8.9-1
libxau 1.0.11-2
libxcb 1.17.0-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.2-1
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1
libxdp 1.4.2-1
libxext 1.3.6-1
libxfce4ui 4.18.6-1
libxfce4util 4.18.2-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxml2 2.12.7-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.39-2
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libzip 1.10.1-1
licenses 20240206-1
lilv 0.24.24-2
linux 6.9.3.arch1-1
linux-api-headers 6.8-1
linux-firmware 20240510.b9d2bf23-1
linux-firmware-whence 20240510.b9d2bf23-1
linux-headers 6.9.3.arch1-1
llvm-libs 17.0.6-5
lm_sensors 1:3.6.0.r41.g31d1f125-2
lsb-release 2.0.r53.a86f885-1
lsof 4.99.3-2
lua 5.4.6-3
lua51-lpeg 1.1.0-2
luajit 2.1.1716656478-1
lv2 1.18.10-1
lvm2 2.03.24-1
lz4 1:1.9.4-3
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
mangohud 0.7.2-1
mbedtls 3.5.2-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
mesa 1:24.1.1-1
meson 1.4.1-1
minizip 1:1.3.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
modemmanager-qt 6.3.0-1
mpc 0.35-1
mpd 0.23.15-4
mpd-mpris 0.4.1-1
mpd-mpris-debug 0.4.1-1
mpdecimal 4.0.0-2
mpfr 4.2.1-3
mpg123 1.32.6-1
msgpack-c 5.0.0-2
mtdev 1.1.6-2
ncmpcpp 0.9.2-19
ncurses 6.5-3
ndctl 78-2
neovim 0.10.0-4
nettle 3.9.1-1
network-manager-applet 1.36.0-1
networkmanager 1.48.0-1
networkmanager-qt5 5.116.0-1
nftables 1:1.0.9-3
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
node-gyp 10.1.0-3
nodejs 22.2.0-1
nodejs-nopt 7.2.0-1
noise-suppression-for-voice 1.10-1
nomacs 1:3.17.2295-3
nomacs-debug 1:3.17.2295-3
noto-fonts 1:24.6.1-1
npm 10.8.1-1
npth 1.7-1
nspr 4.35-3
nss 3.101-1
numactl 2.0.18-1
nvidia 550.90.07-1
nvidia-utils 550.90.07-1
nwg-look 0.2.7-1
obs-studio 30.1.2-1
ocl-icd 2.3.2-1
onetbb 2021.12.0-2
oniguruma 6.9.9-1
openal 1.23.1-1
openbsd-netcat 1.226_1-2
opencore-amr 0.1.6-1
opencv 4.9.0-8
opendoas 6.8.2-3
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.7p1-2
openssl 3.3.1-1
openssl-1.1 1.1.1.w-1
opus 1.5.2-1
orc 0.4.38-1
os-prober 1.81-1
osinfo-db 20240523-1
otf-font-awesome 6.5.2-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pahole 1:1.26-2
pam 1.6.1-2
pambase 20230918-1
pango 1:1.52.2-1
pangomm 2.46.4-1
pangomm-2.48 2.52.0-1
parted 3.6-1
pavucontrol 1:6.0-1
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.43-4
pcsclite 2.2.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
pinentry 1.3.0-1
pipewire 1:1.0.7-2
pipewire-alsa 1:1.0.7-2
pipewire-audio 1:1.0.7-2
pipewire-jack 1:1.0.7-2
pipewire-pulse 1:1.0.7-2
pipewire-session-manager 1:1.0.7-2
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-3
polkit 124-2
polkit-kde-agent 6.0.5-1
polkit-qt6 0.200.0-1
popt 1.19-1
portaudio 1:19.7.0-2
ppp 2.5.0-3
prismlauncher 8.3-1
prismlauncher-debug 8.3-1
procps-ng 4.0.4-3
protobuf 25.3-4
proton-ge-custom-bin 1:GE_Proton9_7-1
psmisc 23.7-1
pulseaudio-qt 1.5.0-1
python 3.12.3-1
python-autocommand 2.2.2-6
python-babel 2.14.0-2
python-cairo 1.26.0-2
python-capng 0.8.5-2
python-charset-normalizer 3.3.2-2
python-contourpy 1.2.1-3
python-cycler 0.12.1-2
python-dateutil 2.9.0-5
python-dbus 1.3.2-4
python-docutils 1:0.21.2-1
python-fastjsonschema 2.19.1-3
python-fonttools 4.53.0-1
python-gobject 3.48.2-1
python-idna 3.6-2
python-imagesize 1.4.1-5
python-inflect 7.2.1-2
python-jaraco.context 4.3.0-4
python-jaraco.functools 4.0.1-1
python-jaraco.text 3.12.0-3
python-jinja 1:3.1.4-1
python-kiwisolver 1.4.5-3
python-mako 1.3.5-1
python-markdown 3.6-3
python-markupsafe 2.1.5-2
python-matplotlib 3.8.3-3
python-more-itertools 10.2.0-2
python-numpy 1.26.4-2
python-ordered-set 4.1.0-5
python-packaging 24.0-1
python-pillow 10.3.0-2
python-platformdirs 4.2.0-3
python-pygments 2.17.2-3
python-pyparsing 3.1.2-2
python-pyparted 3.13.0-4
python-pytz 2024.1-2
python-requests 2.32.3-1
python-setuptools 1:69.0.3-6
python-simple-term-menu 1.6.4-2
python-six 1.16.0-9
python-snowballstemmer 2.2.0-6
python-sphinx 7.3.7-2
python-sphinx-alabaster-theme 0.7.16-2
python-sphinx_rtd_theme 1.3.0-2
python-sphinxcontrib-applehelp 1.0.8-3
python-sphinxcontrib-devhelp 1.0.6-3
python-sphinxcontrib-htmlhelp 2.0.5-3
python-sphinxcontrib-jquery 4.1-3
python-sphinxcontrib-jsmath 1.0.1-17
python-sphinxcontrib-qthelp 1.0.7-3
python-sphinxcontrib-serializinghtml 1.1.10-3
python-tomli 2.0.1-4
python-tqdm 4.66.4-1
python-trove-classifiers 2024.5.22-1
python-typeguard 4.2.1-2
python-typing_extensions 4.12.2-1
python-urllib3 1.26.18-3
python-validate-pyproject 0.16-1
qca-qt6 2.3.8-3
qemu-base 9.0.0-1
qemu-common 9.0.0-1
qemu-img 9.0.0-1
qemu-system-x86 9.0.0-1
qemu-system-x86-firmware 9.0.0-1
qhull 2020.2-4
qpwgraph 0.7.2-1
qqc2-desktop-style 6.3.0-1
qt5-base 5.15.14+kde+r141-1
qt5-svg 5.15.14+kde+r5-1
qt5-translations 5.15.14-1
qt5-x11extras 5.15.14-1
qt6-5compat 6.7.1-1
qt6-base 6.7.1-4
qt6-declarative 6.7.1-1
qt6-imageformats 6.7.1-1
qt6-multimedia 6.7.1-2
qt6-multimedia-ffmpeg 6.7.1-2
qt6-shadertools 6.7.1-1
qt6-svg 6.7.1-1
qt6-translations 6.7.1-1
qt6-wayland 6.7.1-1
quazip-qt6 1.4-1
rav1e 0.7.1-1
readline 8.2.010-1
rhash 1.4.4-1
ripgrep 14.1.0-1
rnnoise 1:0.2-1
rofi-lbonn-wayland-git 1.7.5.wayland3.r25.g93ad86da-1
rofi-lbonn-wayland-git-debug 1.7.5.wayland3.r25.g93ad86da-1
rog-control-center 6.0.10-0.1
rtkit 0.13-2
rubberband 3.3.0-1
sbc 2.0-1
scdoc 1.11.3-1
sdbus-cpp 1.5.0-3
sdl2 2.30.3-1
